id,x,y
49000613,48.025925,11.59628
49002982,48.037137,11.714182
49003282,48.039515,11.660372
49005525,48.041321,11.657418
49005738,48.041321,11.657418
49001815,48.042041,11.622024
49001873,48.042041,11.622024
49001884,48.042041,11.622024
49001941,48.042041,11.622024
49001798,48.042166,11.621511
49001872,48.042166,11.621511
49004778,48.042166,11.621511
49001822,48.04285,11.619877
49001804,48.044111,11.618624
49001808,48.044111,11.618624
49004864,48.044193,11.510043
49001812,48.044305,11.620145
49001826,48.044305,11.620145
49001835,48.044305,11.620145
49001981,48.045583,11.628828
49001886,48.046215,11.60758
49001832,48.04643,11.622524
49001799,48.046453,11.594252
49000423,48.048479,11.531786
49001800,48.051859,11.616688
49001893,48.055569,11.606085
49001966,48.058062,11.62252
49000685,48.059595,11.659508
49001844,48.062909,11.67913
49001927,48.062909,11.67913
49001836,48.062932,11.679111
49001904,48.062943,11.678807
49001922,48.062972,11.678663
49001925,48.062972,11.678663
49001928,48.062972,11.678663
49005739,48.063004,11.679268
49001917,48.063021,11.678565
49001924,48.063072,11.678638
49001923,48.06312,11.678555
49001952,48.06316,11.678986
49003947,48.063414,11.679198
49000499,48.063529,11.524481
49008208,48.064619,11.663054
49001990,48.065668,11.61241
49005045,48.065668,11.61241
49000337,48.066314,11.517073
49000473,48.06647,11.51692
49005042,48.067325,11.615664
49001903,48.06808,11.616923
49001897,48.068175,11.602258
49001814,48.068361,11.673021
49001830,48.068394,11.67286
49001833,48.068394,11.67286
49001967,48.068394,11.67286
49000430,48.068611,11.527575
49001895,48.068692,11.674852
49001901,48.068803,11.682192
49001843,48.06912,11.676828
49001862,48.06912,11.676828
49001824,48.069177,11.677005
49001968,48.069177,11.677005
49001838,48.06919,11.676961
49001817,48.069669,11.683842
49005727,48.069845,11.61801
49001823,48.069952,11.678565
49001983,48.07067,11.617872
49001936,48.070702,11.618106
49004250,48.070714,11.673762
49000385,48.071933,11.615925
49003993,48.072172,11.667466
49001894,48.07222,11.677334
49002833,48.0734,11.515763
49000268,48.073785,11.515913
49001819,48.074212,11.609981
49006766,48.074959,11.513279
49004216,48.075252,11.66757
49003360,48.075488,11.417003
49000301,48.075488,11.530797
49005737,48.076058,11.65796
49001880,48.076176,11.603022
49000400,48.077033,11.6642
49001846,48.077367,11.655827
49003333,48.078531,11.539825
49002353,48.07856,11.517081
49005114,48.07856,11.517081
49005829,48.07856,11.517081
49003971,48.078811,11.664169
49001610,48.078855,11.550997
49007496,48.078901,11.534911
49001288,48.079126,11.662986
49002720,48.079133,11.605176
49000503,48.079718,11.510969
49001771,48.079745,11.60673
49004977,48.079858,11.609883
49002844,48.080526,11.50365
49000449,48.08075,11.528648
49000272,48.080802,11.528549
49000651,48.081234,11.526224
49005675,48.081655,11.646977
49001638,48.081667,11.552167
49005370,48.08175,11.693838
49001940,48.081769,11.626036
49000394,48.081851,11.485744
49000419,48.081945,11.646555
49000382,48.082063,11.607753
49000620,48.082071,11.607802
49001937,48.082071,11.607802
49001969,48.082071,11.607802
49001933,48.082073,11.607688
49001336,48.082287,11.628423
49004956,48.082414,11.647192
49000372,48.082776,11.638482
49000418,48.08309,11.638225
49003976,48.08309,11.638225
49000255,48.083142,11.485211
49005540,48.083371,11.680617
49000645,48.083445,11.485941
49000919,48.083445,11.485941
49006700,48.083658,11.552912
49000709,48.083694,11.53697
49004876,48.083726,11.51746
49006694,48.083832,11.553639
49006696,48.083832,11.553639
49006707,48.083832,11.553639
49007218,48.083832,11.553639
49006685,48.083856,11.553169
49005284,48.083997,11.530222
49004692,48.084007,11.516314
49003963,48.084024,11.642624
49005154,48.084025,11.537026
49000659,48.084076,11.275173
49005091,48.084197,11.537411
49007182,48.084337,11.503163
49000640,48.084386,11.517758
49000406,48.084393,11.663852
49001865,48.08442,11.644092
49001656,48.084583,11.491605
49001355,48.084705,11.661651
49000470,48.084907,11.490129
49000444,48.084921,11.490382
49000446,48.084921,11.490382
49000461,48.084921,11.490382
49000483,48.084921,11.490382
49001731,48.085077,11.513594
49004431,48.08509,11.537894
49004617,48.085332,11.513746
49005158,48.085682,11.519291
49006672,48.085967,11.513673
49000257,48.08598,11.533763
49000260,48.08598,11.533763
49000447,48.08598,11.533763
49005047,48.08611,11.643383
49000404,48.08619,11.596703
49005147,48.086231,11.518992
49000370,48.086328,11.596683
49005527,48.086409,11.642563
49000367,48.086439,11.596758
49002687,48.086449,11.534099
49005273,48.086455,11.643607
49003953,48.086468,11.645601
49005035,48.086468,11.645601
49007361,48.086521,11.6445
49005208,48.08654,11.519444
49000364,48.086574,11.597003
49006699,48.086595,11.554646
49000389,48.086608,11.514672
49008336,48.086609,11.515092
49001630,48.086628,11.554688
49003987,48.086635,11.514685
49004457,48.086643,11.556586
49001558,48.086765,11.514733
49000200,48.086816,11.55582
49001647,48.086816,11.55582
49005202,48.086816,11.55582
49008270,48.086816,11.55582
49001577,48.086924,11.554909
49003950,48.087144,11.640073
49000271,48.087156,11.533395
49000321,48.087156,11.533395
49000491,48.087156,11.533395
49001885,48.087156,11.533395
49008519,48.087156,11.533395
49008521,48.087172,11.556211
49001892,48.087182,11.634999
49000356,48.087189,11.471852
49000346,48.087241,11.534822
49001672,48.087305,11.556455
49001809,48.087372,11.645146
49001839,48.087395,11.50623
49005697,48.087443,11.633549
49008300,48.087465,11.556551
49007258,48.087473,11.556774
49000307,48.087486,11.482407
49000328,48.087486,11.482407
49000480,48.087486,11.482407
49005671,48.087498,11.639519
49007726,48.087507,11.641281
49000335,48.087575,11.482277
49000462,48.087575,11.482277
49000485,48.087575,11.482277
49000497,48.087575,11.482277
49001796,48.087588,11.567721
